C_wt,dL,Stress
-1.0260447642909187,-0.28460373270926115,-0.2756749141343502
-1.0260447642909187,-0.27875125233723036,-0.2709753443078334
-1.0260447642909187,-0.2734920881222056,-0.2666329849362257
-1.0260447642909187,-0.268299608142461,-0.26224760454894025
-1.0260447642909187,-0.2624142753708378,-0.25766301972305256
-1.0260447642909187,-0.2572913030500336,-0.25339811318238536
-1.0260447642909187,-0.251678012031655,-0.24884000800801373
-1.0260447642909187,-0.24680145324062208,-0.244450837393395
-1.0260447642909187,-0.24147522903028149,-0.23997025371638894
-1.0260447642909187,-0.2369453001878834,-0.2355455364268777
-1.0260447642909187,-0.2317959793990978,-0.2311824566783192
-1.0260447642909187,-0.22623879580213996,-0.22679945357524747
-1.0260447642909187,-0.22053402951207488,-0.22239867063135355
-1.0260447642909187,-0.21501387910789888,-0.21778003981156158
-1.0260447642909187,-0.21006096814096528,-0.21358454707523641
-1.0260447642909187,-0.20490809957206052,-0.20933038057322975
-1.0260447642909187,-0.19904903721800035,-0.20481482576296786
-1.0260447642909187,-0.1941125604468531,-0.20042463724246584
-1.0260447642909187,-0.18877527594214352,-0.1961210391760425
-1.0260447642909187,-0.18330737725178067,-0.19183558055925223
-1.0260447642909187,-0.1778237776703653,-0.18728089055700853
-1.0260447642909187,-0.17216108274551511,-0.18286668789302318
-1.0260447642909187,-0.16636649135284823,-0.1784172911553134
-1.0260447642909187,-0.16047070986111384,-0.1738416818957513
-1.0260447642909187,-0.15555880680153483,-0.16950280783027127
-1.0260447642909187,-0.15143976658216465,-0.16524324526891945
-1.0260447642909187,-0.14675658898101926,-0.1611019970781115
-1.0260447642909187,-0.140911607121675,-0.15676345812091894
-1.0260447642909187,-0.13558767624945872,-0.15229946512593948
-1.0260447642909187,-0.1298600741167052,-0.1478647888779334
-1.0260447642909187,-0.12489392729419455,-0.14368018372688143
-1.0260447642909187,-0.1198766696824688,-0.13951288362048617
-1.0260447642909187,-0.11455191699982827,-0.1353725478791371
-1.0260447642909187,-0.10950467507904803,-0.13089693999720567
-1.0260447642909187,-0.10411135916989171,-0.1265911700969687
-1.0260447642909187,-0.09908505366153264,-0.12259007475522792
-1.0260447642909187,-0.09372940593501715,-0.11847963105128295
-1.0260447642909187,-0.08868482024136165,-0.11422755663098612
-1.0260447642909187,-0.08353217121319374,-0.10983462029011223
-1.0260447642909187,-0.07907313794998927,-0.10577916959336271
